iter	Passed	Remaining
0	2	257
1	4	237
2	7	228
3	8	208
4	10	204
5	13	207
6	15	206
7	17	205
8	19	201
9	22	200
10	24	199
11	27	198
12	29	197
13	31	195
14	33	191
15	35	188
16	38	185
17	40	183
18	42	181
19	44	178
20	46	175
21	48	173
22	50	170
23	52	167
24	55	165
25	57	162
26	59	160
27	61	158
28	63	156
29	65	153
30	68	151
31	69	148
32	71	144
33	73	142
34	75	140
35	78	138
36	80	137
37	82	135
38	85	133
39	87	130
40	89	128
41	90	124
42	92	122
43	94	120
44	96	117
45	98	115
46	101	114
47	104	112
48	106	110
49	108	108
50	110	106
51	112	103
52	114	101
53	117	99
54	118	97
55	119	94
56	122	92
57	124	89
58	126	87
59	127	85
60	129	82
61	130	80
62	133	78
63	134	75
64	136	73
65	138	71
66	140	69
67	142	67
68	144	64
69	146	62
70	147	60
71	149	58
72	151	56
73	152	53
74	153	51
75	155	49
76	157	46
77	159	44
78	160	42
79	162	40
80	164	38
81	166	36
82	168	34
83	171	32
84	173	30
85	176	28
86	178	26
87	179	24
88	180	22
89	182	20
90	184	18
91	187	16
92	188	14
93	190	12
94	192	10
95	193	8
96	195	6
97	196	4
98	198	2
99	200	0
