iter	Passed	Remaining
0	125	125736
1	126	63298
2	128	42554
3	129	32150
4	130	26055
5	131	21827
6	133	18954
7	135	16762
8	136	15053
9	138	13738
10	140	12644
11	141	11689
12	143	10910
13	145	10258
14	147	9695
15	149	9165
16	150	8680
17	151	8285
18	153	7938
19	155	7610
20	156	7309
21	158	7032
22	159	6786
23	161	6554
24	162	6331
25	163	6119
26	164	5921
27	165	5753
28	167	5591
29	168	5434
30	168	5281
31	170	5142
32	171	5013
33	172	4892
34	173	4790
35	174	4675
36	175	4566
37	176	4461
38	177	4362
39	177	4268
40	178	4179
41	179	4101
42	181	4033
43	182	3957
44	183	3883
45	183	3812
46	184	3746
47	185	3688
48	187	3631
49	188	3580
50	189	3519
51	189	3460
52	190	3403
53	191	3352
54	192	3303
55	193	3254
56	194	3215
57	195	3181
58	196	3138
59	197	3097
60	198	3056
61	199	3019
62	200	2984
63	201	2950
64	203	2921
65	204	2896
66	205	2861
67	206	2827
68	206	2792
69	207	2761
70	209	2736
71	210	2714
72	211	2684
73	212	2655
74	213	2627
75	213	2599
76	214	2572
77	215	2550
78	217	2533
79	218	2509
80	218	2484
81	219	2458
82	220	2430
83	220	2407
84	221	2383
85	222	2361
86	223	2342
87	224	2326
88	225	2306
89	225	2284
90	226	2264
91	227	2245
92	228	2229
93	230	2217
94	231	2201
95	232	2184
96	232	2165
97	233	2146
98	233	2128
99	234	2111
100	235	2093
101	235	2076
102	236	2059
103	237	2044
104	238	2032
105	239	2018
106	239	2002
107	240	1987
108	241	1972
109	242	1958
110	242	1945
111	244	1938
112	245	1927
113	246	1917
114	247	1905
115	248	1891
116	248	1876
117	249	1863
118	249	1849
119	250	1836
120	251	1824
121	251	1810
122	252	1802
123	254	1795
124	254	1783
125	255	1772
126	256	1760
127	256	1749
128	257	1738
129	258	1728
130	259	1721
131	260	1715
132	261	1706
133	262	1696
134	263	1686
135	263	1675
136	264	1664
137	264	1654
138	265	1643
139	265	1633
140	266	1623
141	267	1613
142	268	1607
143	269	1600
144	269	1591
145	270	1583
146	271	1574
147	272	1566
148	272	1559
149	274	1554
150	275	1549
151	276	1543
152	277	1534
153	277	1525
154	278	1517
155	278	1509
156	279	1501
157	280	1493
158	280	1485
159	281	1477
160	281	1469
161	283	1464
162	284	1459
163	284	1452
164	285	1445
165	286	1438
166	286	1431
167	288	1426
168	288	1420
169	290	1416
170	290	1410
171	291	1403
172	292	1396
173	292	1389
174	293	1382
175	293	1376
176	294	1369
177	295	1362
178	295	1356
179	296	1350
180	297	1348
181	298	1342
182	299	1336
183	300	1330
184	300	1324
185	301	1318
186	302	1313
187	303	1309
188	303	1303
189	304	1297
190	305	1291
191	305	1286
192	306	1280
193	306	1274
194	307	1268
195	307	1263
196	308	1257
197	309	1251
198	309	1246
199	310	1240
200	310	1236
201	312	1234
202	313	1230
203	314	1225
204	314	1221
205	315	1216
206	316	1212
207	317	1207
208	318	1205
209	319	1201
210	320	1197
211	321	1194
212	321	1189
213	322	1184
214	323	1179
215	323	1174
216	324	1169
217	324	1165
218	325	1160
219	326	1158
220	327	1155
221	328	1150
222	329	1146
223	329	1142
224	330	1138
225	331	1134
226	331	1129
227	333	1129
228	334	1126
229	335	1122
230	335	1118
231	336	1114
232	337	1109
233	337	1105
234	338	1101
235	338	1097
236	339	1093
237	340	1088
238	341	1086
239	342	1083
240	342	1080
241	343	1076
242	344	1072
243	344	1068
244	345	1065
245	346	1062
246	347	1060
247	348	1057
248	349	1054
249	350	1050
250	350	1047
251	351	1043
252	352	1039
253	352	1035
254	353	1031
255	353	1028
256	354	1024
257	355	1021
258	356	1018
259	357	1017
260	358	1014
261	358	1010
262	359	1007
263	360	1004
264	361	1001
265	361	998
266	363	997
267	364	996
268	365	994
269	366	990
270	367	987
271	367	984
272	368	981
273	369	977
274	369	974
275	370	972
276	371	970
277	372	967
278	373	964
279	374	961
280	374	959
281	375	956
282	377	955
283	378	953
284	379	951
285	379	948
286	380	944
287	380	941
288	381	938
289	381	935
290	382	931
291	383	928
292	383	925
293	384	922
294	384	920
295	386	918
296	387	916
297	387	913
298	388	911
299	389	908
300	389	905
301	390	903
302	391	901
303	392	899
304	393	897
305	394	895
306	395	892
307	395	889
308	396	886
309	397	883
310	397	881
311	398	878
312	398	875
313	399	873
314	400	871
315	401	869
316	402	866
